describle,evaluate,introduce,movie_name,serial_number,star
诺兰就是保证。,386902人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,蝙蝠侠：黑暗骑士崛起,129,8.7
Balalala~~~,519928人评价,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...,超能陆战队,130,8.6
不要给它起名字，起了名字就有感情了。,336998人评价,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...,怪兽电力公司,131,8.6
岁月流逝，来日可追。,376698人评价,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...,岁月神偷,132,8.7
真相就在眼前。,265589人评价,导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...,电锯惊魂,133,8.7
时代悲歌。,102672人评价,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...,七武士,134,9.2
像吃了苏打饼一样干脆的电影。,238936人评价,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...,谍影重重3,135,8.7
爱，是个动词。,410231人评价,导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...,真爱至上,136,8.6
老少皆宜，这就是好莱坞动画的魅力。,486449人评价,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...,疯狂原始人,137,8.7
我的平常生活就是他人的幸福。,115607人评价,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira/北浦爱...,无人知晓,138,9.1
中国家庭的喜怒哀乐忍。,183547人评价,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...,喜宴,139,8.9
幸福是生生不息，却难以触及的远。 ,256894人评价,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子,萤火虫之墓,140,8.7
电影诗。,339149人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/林青霞Brigitte...,东邪西毒,141,8.6
英雄泪短，兄弟情长。 ,252420人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...,英雄本色,142,8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,477342人评价,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...,贫民窟的百万富翁,143,8.5
黑暗之美。,523016人评价,导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔莉·波特曼Natalie...,黑天鹅,144,8.5
一个针管引发的血案。,354613人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...,记忆碎片,145,8.6
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,439681人评价,导演:梅尔·吉布森MelGibson主演:安德鲁·加菲尔德AndrewGarfield/...,血战钢锯岭,146,8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,255548人评价,导演:忻钰坤YukunXin主演:霍卫民WeiminHuo/王笑天XiaotianWang...,心迷宫,147,8.7
爱是摈弃傲慢与偏见之后的曙光。,400490人评价,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley/马修·...,傲慢与偏见,148,8.5
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,279920人评价,导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格里森DomhnallGl...,时空恋旅人,149,8.7
始于荒诞，止于更荒诞。,205158人评价,导演:达米安·斯兹弗隆DamiánSzifron主演:达里奥·葛兰帝内提Darío...,荒蛮故事,150,8.8
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,254870人评价,导演:巴瑞·莱文森BarryLevinson主演:达斯汀·霍夫曼DustinHoffman...,雨人,151,8.7
香港浪漫主义警匪动作片的巅峰之作。,208550人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/张国荣LeslieCheung...,纵横四海,152,8.7
任何信念的力量，都无法改变命运。,177627人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,教父3,153,8.8
Jared Leto的腿比女人还美！,248747人评价,导演:让-马克·瓦雷Jean-MarcVallée主演:马修·麦康纳MatthewMcCon...,达拉斯买家俱乐部,154,8.7
跨度十五年的欢乐与泪水。,250113人评价,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...,玩具总动员3,155,8.8
坏人的好总是比好人的好来得更感人。,111763人评价,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...,完美的世界,156,9.1
当这个世界闭上双眼，他却敞开了怀抱。,153200人评价,导演:特瑞·乔治TerryGeorge主演:唐·钱德尔DonCheadle/苏菲·奥...,卢旺达饭店,157,8.9
偷情本没有这样美。,317143人评价,导演:王家卫KarWaiWong主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...,花样年华,158,8.6
我们都有权利不与自己的过去和解。,276686人评价,导演:肯尼斯·罗纳根KennethLonergan主演:卡西·阿弗莱克CaseyAffle...,海边的曼彻斯特,159,8.6
大海啊，不全是水。,112941人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...,海洋,160,9.0
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,363649人评价,导演:尼克·卡索维茨NickCassavetes主演:瑞恩·高斯林RyanGosling/...,恋恋笔记本,161,8.5
永远看不腻的喜剧。,132896人评价,导演:杰拉尔·乌里GérardOury主演:路易·德·菲耐斯LouisdeFunès...,虎口脱险,162,8.9
感情不分食草或者食肉。,190126人评价,导演:藤森雅也MasayaFujimori主演:山口胜平KappeiYamaguchi/爱河...,你看起来好像很好吃,163,8.8
热血沸腾，那个低俗、性感的无耻混蛋又来了。,333552人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:杰米·福克斯JamieFoxx/...,被解救的姜戈,164,8.6
有一些东西不应该被遗忘。,154459人评价,导演:郭柯KeGuo主演:,二十二,165,8.7
愿我们都不用长大，每一座城堡都能永远存在。,315645人评价,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...,头脑特工队,166,8.7
迪士尼和皮克斯拿错剧本的产物。,283475人评价,导演:瑞奇·莫尔RichMoore主演:约翰·C·赖利JohnC.Reilly/萨拉...,无敌破坏王,167,8.7
松鼠才是角儿。,355291人评价,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge主演...,冰川时代,168,8.5
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,688138人评价,导演:新海诚MakotoShinkai主演:神木隆之介RyûnosukeKamiki/上...,你的名字。,169,8.4
,450167人评价,导演:马丁·麦克唐纳MartinMcDonagh主演:弗兰西斯·麦克多蒙德France...,三块广告牌,170,8.7
传奇，不是每个人都可以拥有。,176643人评价,导演:爱德华·兹威克EdwardZwick主演:布拉德·皮特BradPitt/安东...,燃情岁月,171,8.8
